char,type,sheet,sx,sy,line,order,width,height
110111740000,43,3,3202,2015,12,1,312,306
11071161111A,11,3,3205,2682,12,2,329,346
110211751105,1,3,2787,1291,13,1,310,322
1100116E1107,1,3,2769,1627,13,2,329,317
110011690000,25,3,2765,1970,13,3,321,300
1112119E0000,35,3,2772,3334,13,4,300,314
110B11630000,4,3,2756,3700,13,5,341,298
110911751102,5,3,2769,4019,13,6,302,334
110A11680000,2,3,2762,4739,13,7,348,292
110011750000,7,3,2766,5435,13,8,313,309
111111730000,2,3,2781,5814,13,9,328,267
110911751105,7,3,2791,6095,13,10,302,355
110A11A10000,11,3,2303,1277,14,1,314,298
110911680000,2,3,2293,1616,14,2,364,311
110911680000,16,3,2284,2304,14,3,369,313
110B11680000,3,3,2275,3020,14,4,363,297
110E11680000,1,3,2262,3340,14,5,391,295
1100116F1102,2,3,2304,4022,14,6,323,335
110B11750000,25,3,2299,4736,14,7,308,283
1103119E0000,2,3,2319,5091,14,8,319,306
110B116C0000,3,3,2327,5412,14,9,329,305
110911750000,58,3,2329,5759,14,10,304,288
110211750000,90,3,2344,6120,14,11,283,286
110311610000,21,3,1834,1299,15,1,363,296
1109119E1109,2,3,1870,1613,15,2,314,321
112D116E1106,2,3,1880,1960,15,3,327,333
110B11731105,19,3,1858,2303,15,4,347,343
115911751102,1,3,1872,2657,15,5,294,341
1112119E0000,6,3,1864,3344,15,6,289,323
110B11630000,14,3,1855,3691,15,7,346,308
110A1172111D,2,3,1863,4029,15,8,312,351
110011740000,8,3,1859,4742,15,9,313,311
1107119E1105,1,3,1892,5412,15,10,293,338
1100119E0000,8,3,1889,5777,15,11,291,292
110911751105,3,3,1893,6093,15,12,298,346
110A11A10000,14,3,1379,1277,16,1,331,319
110011731106,4,3,1392,1626,16,2,329,316
11401175111A,3,3,1411,2303,16,3,294,355
110B11660000,18,3,1371,3038,16,4,370,303
110911680000,9,3,1368,3366,16,5,371,308
110C11691102,9,3,1381,4037,16,6,328,330
110B11750000,40,3,1397,4754,16,7,311,288
1103119E0000,3,3,1414,5091,16,8,316,280
110B116C0000,4,3,1423,5433,16,9,321,303
110911750000,67,3,1421,5790,16,10,307,282
110211750000,56,3,1450,6135,16,11,293,293
